respondent_id,age,gender,country,education_level,employment_status,industry,job_role_level,work_experience_years,income_bracket,household_dependents,perceived_automation_risk,role_partially_automated,pct_tasks_automatable,ai_awareness,enrolled_reskilling,learning_platform,upskilling_hours_per_week,willingness_to_reskill,biggest_barrier,preferred_learning_mode,top_skill_pursued,reskilling_awareness_source,employer_provides_reskilling,govt_reskilling_subsidies,satisfaction_employer_ld,would_switch_for_reskilling,career_confidence_5yr,career_anxiety,accept_lower_pay_futureproof,expected_role_change_timeline,successful_reskill_transition,automation_vulnerability_idx,reskilling_engagement_score,support_ecosystem_score,anxiety_to_action_ratio,income_reskilling_gap,future_readiness_idx
R02396,25,Male,Germany,High School/Diploma,Full-time Employed,Manufacturing,Executive/C-suite,3,€65-100K,1.0,2,Yes,41-60%,3,Yes,edX,3.3,4,No Relevant Programs,Online Instructor-led,Soft Skills/Leadership,Self-Research,Yes,Unsure,2,Yes,3,3,No,7,No,0.55,0.687,0.588,0.717,Complacent High Earner,0.596
R02397,42,Female,India,PhD,Full-time Employed,Government/Public Sector,Manager/Director,17,>₹50L,3.0,2,No,0-20%,3,No,None,0.0,4,Lack of Awareness,Peer Learning/Mentorship,None,News/Media,No,No,1,No,2,3,No,4,No,0.13,0.188,0.0,2.525,Complacent High Earner,0.546
R02398,34,Male,USA,Below High School,Self-employed/Freelancer,Agriculture,Mid-level,8,$25-50K,0.0,3,No,81-100%,2,No,None,0.0,5,Family Responsibilities,Online Instructor-led,None,Employer,Yes,No,4,No,2,3,No,3,Yes,0.47,0.25,0.612,1.923,At-Risk Low Earner,0.65
R02399,36,Female,Japan,Bachelor's,Unemployed - Seeking,Education,Manager/Director,12,¥3-5M,2.0,3,Yes,61-80%,4,No,None,0.0,2,Family Responsibilities,Online Instructor-led,None,Social Media,No,Yes,3,No,3,4,No,6,No,0.71,0.062,0.475,10.0,At-Risk Low Earner,0.438
R02400,31,Female,UAE,Bachelor's,Unemployed - Seeking,Construction/Real Estate,Manager/Director,7,AED 240-480K,1.0,4,No,41-60%,4,Yes,edX,16.3,3,Time,Online Self-paced,Project Management,Self-Research,No,No,2,No,1,5,No,4,Yes,0.45,0.819,0.088,1.206,Invested High Earner,0.358
R02401,33,Male,Philippines,High School/Diploma,Part-time Employed,Technology/IT,Mid-level,10,₱350-700K,0.0,3,Yes,41-60%,4,No,None,0.0,5,Lack of Awareness,Online Self-paced,None,None,Yes,No,4,Yes,2,3,No,4,No,0.65,0.25,0.612,1.923,At-Risk Low Earner,0.633
R02402,33,Female,USA,High School/Diploma,Self-employed/Freelancer,Media/Entertainment,Mid-level,10,<$25K,2.0,4,No,61-80%,4,No,None,0.0,4,Time,Online Instructor-led,None,Social Media,Yes,No,4,No,4,4,No,5,No,0.51,0.188,0.612,3.788,At-Risk Low Earner,0.729
R02403,48,Female,UK,PhD,Full-time Employed,Agriculture,Senior,23,,4.0,2,No,0-20%,3,No,None,0.0,3,Family Responsibilities,Peer Learning/Mentorship,None,Peers/Network,Yes,Unsure,4,No,3,4,No,10,No,0.13,0.125,0.762,5.556,Unknown,0.458
R02404,33,Female,UAE,Bachelor's,Full-time Employed,Government/Public Sector,Entry-level,6,,2.0,3,No,41-60%,2,Yes,Company Internal LMS,1.0,3,Time,Online Self-paced,Cloud Computing,Self-Research,No,No,1,No,3,3,Yes,5,Yes,0.35,0.59,0.0,0.833,Unknown,0.542
R02405,39,Female,India,High School/Diploma,Part-time Employed,Retail/E-commerce,Senior,19,₹6-12L,4.0,3,Yes,21-40%,3,No,None,0.0,4,Employer Doesn't Support,On-the-job Training,None,Social Media,No,Unsure,1,No,2,3,No,4,No,0.59,0.188,0.15,2.525,At-Risk Low Earner,0.546
R02406,28,Male,Philippines,Bachelor's,Full-time Employed,Agriculture,Mid-level,1,<₱150K,2.0,2,Yes,0-20%,3,No,YouTube/Free Resources,0.0,3,Cost,Online Instructor-led,None,Employer,No,No,3,No,4,4,No,7,Yes,0.43,0.125,0.175,5.556,At-Risk Low Earner,0.608
R02407,46,Male,UK,High School/Diploma,Full-time Employed,Agriculture,Executive/C-suite,23,£50-80K,3.0,2,No,21-40%,2,Yes,Coursera,1.2,4,Family Responsibilities,Hybrid,Software Development,Employer,No,Unsure,2,No,2,4,No,8,Yes,0.19,0.656,0.238,1.126,Complacent High Earner,0.479
R02408,25,Female,UAE,Bachelor's,Part-time Employed,Logistics/Supply Chain,Entry-level,2,AED 240-480K,3.0,4,No,41-60%,3,Yes,Udemy,4.8,3,Employer Doesn't Support,Hybrid,Cloud Computing,Social Media,Yes,Yes,1,Yes,4,5,No,3,Yes,0.45,0.647,0.65,1.522,Complacent High Earner,0.675
R02409,35,Male,Brazil,High School/Diploma,Full-time Employed,Agriculture,Entry-level,15,R$40-80K,,1,No,0-20%,1,Yes,Coursera,5.0,3,No Relevant Programs,Online Self-paced,Software Development,None,No,No,3,Yes,2,2,Yes,8,No,0.03,0.65,0.175,0.379,Striving Upskiller,0.392
R02410,33,Female,UK,Master's,Unemployed - Seeking,Construction/Real Estate,Senior,6,£50-80K,0.0,3,No,21-40%,3,No,None,0.0,4,Family Responsibilities,Hybrid,None,Peers/Network,No,Unsure,2,Yes,3,2,No,5,No,0.29,0.188,0.238,1.263,Complacent High Earner,0.629
R02411,22,Female,India,Bachelor's,Student,Media/Entertainment,Entry-level,0,₹6-12L,0.0,2,Yes,81-100%,4,No,None,0.0,4,Family Responsibilities,Hybrid,None,Social Media,No,No,2,Yes,3,2,No,9,No,0.67,0.188,0.088,1.263,At-Risk Low Earner,0.562
R02412,27,Male,Brazil,Below High School,Full-time Employed,Energy/Utilities,Entry-level,6,R$20-40K,3.0,3,Yes,21-40%,3,No,None,0.0,5,No Relevant Programs,Hybrid,None,None,No,No,2,No,1,4,No,7,No,0.59,0.25,0.088,2.885,At-Risk Low Earner,0.483
R02413,31,Female,USA,Bachelor's,Full-time Employed,Technology/IT,Mid-level,6,$50-75K,1.0,4,Yes,61-80%,4,No,None,0.0,3,Family Responsibilities,In-person Classroom,None,News/Media,Yes,Unsure,2,Yes,2,5,Yes,5,No,0.81,0.125,0.588,7.407,At-Risk Low Earner,0.442
R02414,32,Male,Singapore,Below High School,Full-time Employed,Healthcare,Mid-level,7,S$50-90K,2.0,4,Yes,81-100%,3,No,None,0.0,4,Time,Online Instructor-led,None,Government Campaign,Yes,Yes,2,Yes,1,3,No,1,No,0.87,0.188,0.737,2.525,At-Risk Low Earner,0.496
R02415,42,Male,UAE,High School/Diploma,Unemployed - Seeking,Financial Services,Senior,20,,2.0,4,Yes,81-100%,3,Yes,Company Internal LMS,1.8,4,Employer Doesn't Support,Online Instructor-led,Software Development,Peers/Network,No,No,1,No,3,3,No,1,Yes,0.87,0.665,0.0,0.741,Unknown,0.696
R02416,27,Female,India,Bachelor's,Full-time Employed,Energy/Utilities,Entry-level,8,<₹3L,1.0,4,Yes,41-60%,1,No,University/College Program,0.0,5,No Relevant Programs,Online Self-paced,None,None,No,No,2,Yes,4,3,No,3,Yes,0.75,0.25,0.088,1.923,At-Risk Low Earner,0.85
R02417,38,Male,USA,High School/Diploma,Full-time Employed,Retail/E-commerce,Senior,18,$25-50K,2.0,3,No,21-40%,3,Yes,LinkedIn Learning,13.7,4,Cost,Hybrid,Data/AI & Machine Learning,Self-Research,Yes,Unsure,3,No,1,4,Yes,7,Yes,0.29,0.843,0.675,0.879,Striving Upskiller,0.396
R02418,37,Female,India,Bachelor's,Full-time Employed,Financial Services,Senior,15,<₹3L,2.0,1,Yes,21-40%,3,No,None,0.0,2,No Relevant Programs,Online Self-paced,None,Social Media,No,No,2,Yes,4,1,No,8,No,0.39,0.062,0.088,0.0,At-Risk Low Earner,0.504
R02419,37,Male,India,Master's,Full-time Employed,Technology/IT,Mid-level,16,₹12-25L,3.0,4,Yes,0-20%,3,No,None,1.6,3,Lack of Awareness,Hybrid,Cloud Computing,Social Media,No,Unsure,3,Yes,3,4,No,2,Yes,0.63,0.349,0.325,2.089,Complacent High Earner,0.592
R02420,48,Female,India,Bachelor's,Self-employed/Freelancer,Construction/Real Estate,Manager/Director,28,₹25-50L,0.0,2,Yes,21-40%,2,No,None,0.0,3,Lack of Awareness,On-the-job Training,None,Employer,No,No,2,No,3,3,No,6,No,0.49,0.125,0.088,3.704,Complacent High Earner,0.525
R02421,37,Male,Brazil,High School/Diploma,Full-time Employed,Financial Services,Mid-level,12,R$40-80K,3.0,3,No,41-60%,4,Yes,YouTube/Free Resources,2.9,3,Time,Peer Learning/Mentorship,Digital Marketing,Social Media,Yes,Unsure,3,Yes,2,4,No,6,Yes,0.35,0.618,0.675,1.194,At-Risk Low Earner,0.425
R02422,36,Female,Brazil,Bachelor's,Self-employed/Freelancer,Construction/Real Estate,Executive/C-suite,15,R$80-150K,3.0,1,No,0-20%,2,No,None,1.6,4,Time,Hybrid,Digital Marketing,Employer,No,Yes,1,No,4,3,Yes,7,Yes,0.03,0.412,0.3,1.185,Complacent High Earner,0.696
R02423,27,Female,USA,Master's,Self-employed/Freelancer,Logistics/Supply Chain,Mid-level,4,$120-200K,0.0,3,No,81-100%,4,No,None,0.0,4,Time,Peer Learning/Mentorship,None,News/Media,Yes,No,3,No,2,3,No,6,No,0.47,0.188,0.525,2.525,Complacent High Earner,0.512
R02424,23,Female,Germany,Master's,Self-employed/Freelancer,Technology/IT,Senior,3,€65-100K,0.0,4,Yes,41-60%,5,No,edX,0.0,3,Time,Online Self-paced,None,Self-Research,Yes,Yes,4,No,3,4,No,4,No,0.75,0.125,0.912,5.556,Complacent High Earner,0.558
R02425,26,Male,India,Below High School,Self-employed/Freelancer,Government/Public Sector,Entry-level,2,₹12-25L,,2,No,21-40%,4,No,None,0.0,5,Family Responsibilities,On-the-job Training,None,Self-Research,No,Unsure,3,Yes,4,3,Yes,10,No,0.19,0.25,0.325,1.923,Complacent High Earner,0.733
R02426,33,Female,Singapore,High School/Diploma,Unemployed - Seeking,Agriculture,Entry-level,9,<S$25K,0.0,1,No,21-40%,2,Yes,Coursera,13.7,4,Time,Online Self-paced,Data/AI & Machine Learning,Self-Research,No,Yes,2,Yes,4,3,No,8,Yes,0.09,0.843,0.387,0.586,Striving Upskiller,0.679
R02427,33,Female,Philippines,Bachelor's,Self-employed/Freelancer,Manufacturing,Mid-level,14,>₱3M,1.0,2,No,0-20%,3,No,None,0.0,2,Lack of Awareness,Online Self-paced,None,Self-Research,No,No,2,Yes,4,4,No,12,No,0.13,0.062,0.088,10.0,Complacent High Earner,0.438
R02428,20,Male,South Africa,Bachelor's,Unemployed - Seeking,Manufacturing,Mid-level,0,R400-750K,0.0,4,No,41-60%,5,Yes,Udemy,11.9,4,Cost,Hybrid,Digital Marketing,Social Media,No,No,3,No,4,4,Yes,4,Yes,0.45,0.816,0.175,0.908,Invested High Earner,0.746
R02429,35,Male,USA,Below High School,Self-employed/Freelancer,Education,Mid-level,15,$25-50K,1.0,3,No,0-20%,5,No,None,0.0,4,Family Responsibilities,In-person Classroom,None,Employer,Yes,Yes,3,Yes,5,3,No,5,Yes,0.23,0.188,0.825,2.525,At-Risk Low Earner,0.829
R02430,38,Female,UAE,Bachelor's,Full-time Employed,Healthcare,Senior,15,AED 120-240K,3.0,3,No,21-40%,5,No,None,0.0,3,Time,Online Self-paced,None,Social Media,Yes,Unsure,3,No,4,4,No,6,No,0.29,0.125,0.675,5.556,At-Risk Low Earner,0.625
R02431,42,Female,India,Master's,Student,Retail/E-commerce,Entry-level,18,₹12-25L,2.0,2,No,0-20%,4,No,None,1.0,3,Family Responsibilities,On-the-job Training,Project Management,Social Media,No,No,2,No,4,3,No,9,No,0.13,0.34,0.088,1.429,Complacent High Earner,0.575
R02432,27,Male,UAE,Master's,Full-time Employed,Healthcare,Mid-level,8,,2.0,2,No,0-20%,4,No,Government Program,0.0,2,Time,Peer Learning/Mentorship,None,Peers/Network,No,Unsure,2,Yes,3,2,No,11,No,0.13,0.062,0.238,3.472,Unknown,0.354
R02433,30,Male,USA,Master's,Full-time Employed,Agriculture,Mid-level,3,$25-50K,1.0,3,No,21-40%,3,No,None,0.0,4,Time,Online Self-paced,None,Self-Research,No,Unsure,3,Yes,3,2,No,4,Yes,0.29,0.188,0.325,1.263,At-Risk Low Earner,0.646
R02434,41,Male,Germany,Master's,Full-time Employed,Healthcare,Manager/Director,19,€100-150K,1.0,3,Yes,61-80%,2,No,None,0.0,4,Time,Online Self-paced,None,Self-Research,Yes,Yes,4,No,3,3,No,4,No,0.71,0.188,0.912,2.525,Complacent High Earner,0.646
R02435,22,Male,UAE,High School/Diploma,Full-time Employed,Manufacturing,Senior,0,AED 120-240K,0.0,3,Yes,41-60%,4,Yes,Udemy,1.0,4,Employer Doesn't Support,Online Self-paced,Data/AI & Machine Learning,Social Media,No,Unsure,4,No,4,3,No,4,Yes,0.65,0.653,0.412,0.754,At-Risk Low Earner,0.746
R02436,26,Male,India,Bachelor's,Part-time Employed,Logistics/Supply Chain,Mid-level,5,₹3-6L,1.0,2,Yes,21-40%,3,No,None,1.3,4,Lack of Awareness,Peer Learning/Mentorship,Project Management,Social Media,Yes,Unsure,5,Yes,4,3,Yes,9,No,0.49,0.407,0.85,1.199,At-Risk Low Earner,0.662
R02437,32,Male,USA,Master's,Full-time Employed,Financial Services,Manager/Director,8,>$200K,3.0,3,No,21-40%,3,Yes,LinkedIn Learning,2.1,2,Family Responsibilities,Online Instructor-led,Digital Marketing,News/Media,Yes,Yes,3,No,4,1,No,5,Yes,0.29,0.544,0.825,0.0,Complacent High Earner,0.554
R02438,36,Female,India,Bachelor's,Unemployed - Not Seeking,Manufacturing,Entry-level,12,₹6-12L,1.0,3,Yes,41-60%,3,Yes,YouTube/Free Resources,2.9,3,Family Responsibilities,Online Instructor-led,Green/Sustainability Skills,Self-Research,No,Yes,1,Yes,4,4,No,4,Yes,0.65,0.618,0.3,1.194,At-Risk Low Earner,0.658
R02439,31,Female,Brazil,Bachelor's,Unemployed - Seeking,Agriculture,Mid-level,9,<R$20K,2.0,3,Yes,61-80%,5,No,None,3.0,2,Cost,In-person Classroom,Soft Skills/Leadership,News/Media,No,No,1,No,2,2,No,6,Yes,0.71,0.308,0.0,0.786,At-Risk Low Earner,0.338
R02440,40,Female,USA,High School/Diploma,Full-time Employed,Technology/IT,Entry-level,17,<$25K,3.0,3,Yes,81-100%,4,Yes,Company Internal LMS,6.5,3,Family Responsibilities,On-the-job Training,Soft Skills/Leadership,Self-Research,No,Yes,2,No,4,4,No,2,No,0.77,0.673,0.387,1.098,Striving Upskiller,0.692
R02441,43,Female,USA,High School/Diploma,Full-time Employed,Healthcare,Mid-level,23,$50-75K,2.0,2,No,81-100%,2,No,University/College Program,0.0,3,Time,Hybrid,None,Peers/Network,Yes,No,5,No,2,3,No,10,No,0.37,0.125,0.7,3.704,At-Risk Low Earner,0.358
R02442,57,Male,Germany,Below High School,Full-time Employed,Technology/IT,Manager/Director,37,€100-150K,1.0,3,No,41-60%,4,No,None,0.0,4,Time,In-person Classroom,None,Self-Research,Yes,No,2,Yes,4,4,Yes,6,No,0.35,0.188,0.438,3.788,Complacent High Earner,0.712
R02443,33,Male,Brazil,Master's,Unemployed - Seeking,Manufacturing,Mid-level,9,R$150-300K,2.0,3,Yes,0-20%,3,Yes,Udemy,22.5,4,Time,On-the-job Training,Soft Skills/Leadership,Social Media,No,Unsure,3,No,2,3,No,6,Yes,0.53,0.938,0.325,0.527,Invested High Earner,0.512
R02444,39,Male,UAE,Bachelor's,Full-time Employed,Media/Entertainment,Mid-level,17,AED 480-720K,3.0,3,No,0-20%,3,Yes,Company Internal LMS,5.6,4,No Relevant Programs,Peer Learning/Mentorship,Software Development,Social Media,Yes,No,3,No,2,3,No,1,No,0.23,0.722,0.525,0.683,Invested High Earner,0.596
R02445,38,Male,India,High School/Diploma,Full-time Employed,Energy/Utilities,Senior,16,₹12-25L,4.0,3,No,21-40%,3,No,None,1.1,3,Family Responsibilities,Hybrid,Project Management,Peers/Network,No,Unsure,1,No,4,4,Yes,6,No,0.29,0.342,0.15,2.131,Complacent High Earner,0.625
R02446,34,Prefer Not to Say,USA,High School/Diploma,Student,Healthcare,Entry-level,14,$25-50K,3.0,4,Yes,61-80%,1,Yes,University/College Program,2.2,4,No Relevant Programs,Online Instructor-led,Soft Skills/Leadership,News/Media,No,Unsure,3,No,4,5,Yes,4,Yes,0.81,0.671,0.325,1.468,At-Risk Low Earner,0.746
R02447,41,Female,South Africa,Bachelor's,Part-time Employed,Government/Public Sector,Senior,23,<R80K,1.0,3,No,0-20%,3,Yes,Coursera,5.9,2,Cost,In-person Classroom,Project Management,Self-Research,No,No,3,No,1,4,No,8,No,0.23,0.601,0.175,1.227,Striving Upskiller,0.204
R02448,39,Male,South Africa,High School/Diploma,Full-time Employed,Construction/Real Estate,Executive/C-suite,21,R400-750K,3.0,3,No,21-40%,3,Yes,Government Program,2.4,4,Cost,Online Self-paced,Software Development,Government Campaign,No,Unsure,3,No,4,3,No,5,No,0.29,0.674,0.325,0.731,Complacent High Earner,0.729
R02449,31,Male,Singapore,Master's,Self-employed/Freelancer,Technology/IT,Mid-level,10,S$150-250K,3.0,3,Yes,41-60%,4,No,None,0.0,5,Time,Online Instructor-led,None,Self-Research,Yes,Yes,3,Yes,3,3,No,4,Yes,0.65,0.25,0.825,1.923,Complacent High Earner,0.733
R02450,33,Male,Brazil,Below High School,Self-employed/Freelancer,Agriculture,Mid-level,6,<R$20K,3.0,1,Yes,0-20%,2,Yes,Company Internal LMS,3.5,3,Cost,Online Instructor-led,Soft Skills/Leadership,Self-Research,No,Unsure,3,Yes,4,1,Yes,9,No,0.33,0.628,0.325,0.0,At-Risk Low Earner,0.575
R02451,46,Male,USA,Bachelor's,Full-time Employed,Energy/Utilities,Manager/Director,26,$25-50K,0.0,2,No,21-40%,4,No,None,1.0,4,Time,On-the-job Training,Digital Marketing,News/Media,No,Unsure,3,Yes,3,2,No,9,No,0.19,0.402,0.325,0.607,At-Risk Low Earner,0.562
R02452,20,Male,India,Below High School,Full-time Employed,Government/Public Sector,Entry-level,0,<₹3L,2.0,3,No,21-40%,2,No,None,0.0,3,Cost,On-the-job Training,None,Peers/Network,No,No,3,Yes,2,3,No,6,No,0.29,0.125,0.175,3.704,At-Risk Low Earner,0.425
R02453,22,Male,UAE,Bachelor's,Self-employed/Freelancer,Media/Entertainment,Entry-level,0,AED 120-240K,0.0,3,No,21-40%,3,No,None,0.0,3,Lack of Awareness,Online Instructor-led,None,Social Media,No,No,3,Yes,3,2,No,7,Yes,0.29,0.125,0.175,1.852,At-Risk Low Earner,0.508
R02454,28,Male,USA,Bachelor's,Self-employed/Freelancer,Manufacturing,Senior,3,$25-50K,1.0,3,No,0-20%,4,No,None,1.2,1,Cost,Hybrid,Data/AI & Machine Learning,Peers/Network,No,No,3,Yes,4,1,No,6,No,0.23,0.218,0.175,0.0,At-Risk Low Earner,0.45
R02455,23,Male,USA,Bachelor's,Full-time Employed,Financial Services,Senior,0,$75-120K,0.0,3,No,41-60%,5,No,None,0.6,3,Time,Online Self-paced,Data/AI & Machine Learning,Government Campaign,Yes,Yes,4,No,4,3,No,6,No,0.35,0.334,0.912,1.453,Complacent High Earner,0.625
R02456,38,Female,India,High School/Diploma,Full-time Employed,Government/Public Sector,Manager/Director,16,>₹50L,3.0,3,Yes,21-40%,2,No,edX,2.5,4,Cost,In-person Classroom,Soft Skills/Leadership,Peers/Network,No,No,2,No,3,3,No,7,No,0.59,0.425,0.088,1.149,Complacent High Earner,0.596
R02457,42,Female,India,Bachelor's,Part-time Employed,Government/Public Sector,Manager/Director,21,₹12-25L,3.0,2,No,0-20%,3,No,None,0.0,4,Cost,On-the-job Training,None,Employer,No,Unsure,2,Yes,4,4,No,7,No,0.13,0.188,0.238,3.788,Complacent High Earner,0.696
R02458,35,Female,UAE,PhD,Part-time Employed,Education,Mid-level,16,AED 480-720K,4.0,3,Yes,21-40%,3,No,None,0.0,4,Lack of Awareness,Online Self-paced,None,News/Media,No,No,2,Yes,3,5,Yes,7,No,0.59,0.188,0.088,5.051,Complacent High Earner,0.596
R02459,40,Male,India,Bachelor's,Unemployed - Seeking,Technology/IT,Manager/Director,20,<₹3L,3.0,4,Yes,61-80%,5,Yes,Udemy,18.5,5,Lack of Awareness,In-person Classroom,Cloud Computing,Peers/Network,No,No,2,No,3,3,No,1,Yes,0.81,0.978,0.088,0.506,Striving Upskiller,0.783
R02460,46,Female,India,Bachelor's,Self-employed/Freelancer,Agriculture,Manager/Director,22,>₹50L,1.0,1,No,0-20%,4,No,None,0.0,4,Cost,Online Self-paced,None,Government Campaign,No,No,2,No,3,3,No,8,Yes,0.03,0.188,0.088,2.525,Complacent High Earner,0.579
R02461,31,Female,UAE,Master's,Unemployed - Seeking,Financial Services,Mid-level,5,AED 480-720K,0.0,3,Yes,0-20%,4,Yes,Udemy,13.3,4,Time,Online Instructor-led,Project Management,Peers/Network,No,No,2,No,3,3,Yes,6,Yes,0.53,0.837,0.088,0.59,Invested High Earner,0.612
R02462,25,Male,USA,Bachelor's,Full-time Employed,Media/Entertainment,Mid-level,2,<$25K,0.0,1,No,21-40%,2,No,None,0.6,3,Time,Online Self-paced,Cybersecurity,Self-Research,No,No,2,No,5,3,No,11,No,0.09,0.334,0.088,1.453,At-Risk Low Earner,0.642
R02463,40,Male,UAE,Master's,Self-employed/Freelancer,Financial Services,Senior,17,AED 60-120K,0.0,3,No,41-60%,4,No,Company Internal LMS,0.0,3,No Relevant Programs,Online Instructor-led,None,Self-Research,No,Unsure,2,Yes,5,3,No,4,No,0.35,0.125,0.238,3.704,At-Risk Low Earner,0.758
R02464,37,Male,Brazil,High School/Diploma,Full-time Employed,Logistics/Supply Chain,Mid-level,16,>R$300K,4.0,3,Yes,61-80%,3,No,None,0.0,4,Lack of Awareness,Peer Learning/Mentorship,None,Peers/Network,No,No,4,No,3,3,No,6,No,0.71,0.188,0.262,2.525,Complacent High Earner,0.612
R02465,40,Male,UK,Below High School,Full-time Employed,Healthcare,Senior,17,£30-50K,2.0,1,No,0-20%,1,No,None,0.0,4,Cost,Hybrid,None,Government Campaign,No,No,4,No,3,3,No,10,No,0.03,0.188,0.262,2.525,At-Risk Low Earner,0.546
R02466,27,Male,USA,Bachelor's,Part-time Employed,Energy/Utilities,Mid-level,4,<$25K,3.0,3,Yes,81-100%,3,No,None,0.0,5,No Relevant Programs,On-the-job Training,None,Social Media,Yes,Unsure,5,No,3,3,No,5,No,0.77,0.25,0.85,1.923,At-Risk Low Earner,0.717
R02467,44,Female,UK,High School/Diploma,Self-employed/Freelancer,Technology/IT,Mid-level,21,<£15K,,3,No,0-20%,5,Yes,LinkedIn Learning,5.9,5,Cost,On-the-job Training,Data/AI & Machine Learning,Social Media,Yes,Unsure,3,No,3,3,No,5,Yes,0.23,0.788,0.675,0.627,Striving Upskiller,0.717
R02468,25,Male,USA,Bachelor's,Part-time Employed,Education,Mid-level,6,$75-120K,3.0,4,Yes,41-60%,4,Yes,Coursera,2.0,3,Cost,On-the-job Training,UX/UI Design,Government Campaign,Yes,No,5,Yes,5,2,Yes,5,Yes,0.75,0.605,0.7,0.407,Complacent High Earner,0.742
R02469,21,Male,Brazil,High School/Diploma,Self-employed/Freelancer,Media/Entertainment,Mid-level,0,R$20-40K,1.0,4,Yes,61-80%,3,Yes,YouTube/Free Resources,2.2,4,Cost,Online Self-paced,Cloud Computing,None,Yes,No,4,No,3,5,No,2,No,0.81,0.671,0.612,1.468,At-Risk Low Earner,0.679
R02470,33,Male,Japan,Master's,Full-time Employed,Healthcare,Manager/Director,10,¥8-12M,1.0,2,Yes,41-60%,3,No,YouTube/Free Resources,0.0,3,Family Responsibilities,Online Self-paced,None,Employer,No,Unsure,2,No,3,1,Yes,8,No,0.55,0.125,0.238,0.0,Complacent High Earner,0.492
R02471,20,Male,Brazil,Below High School,Full-time Employed,Education,Mid-level,0,R$40-80K,0.0,3,Yes,41-60%,2,No,None,0.0,3,Cost,Online Instructor-led,None,Employer,No,No,1,Yes,3,4,No,7,No,0.65,0.125,0.0,5.556,At-Risk Low Earner,0.508
R02472,39,Female,India,Below High School,Unemployed - Seeking,Logistics/Supply Chain,Senior,14,₹25-50L,1.0,4,Yes,81-100%,2,Yes,Coursera,11.9,3,Cost,Online Self-paced,Digital Marketing,Self-Research,No,No,1,No,2,5,No,5,Yes,0.87,0.754,0.0,1.309,Invested High Earner,0.442
R02473,55,Prefer Not to Say,USA,Master's,Full-time Employed,Financial Services,Manager/Director,34,$50-75K,1.0,3,Yes,41-60%,4,No,None,0.0,3,Family Responsibilities,Online Instructor-led,None,Peers/Network,Yes,Unsure,4,No,4,3,No,2,Yes,0.65,0.125,0.762,3.704,At-Risk Low Earner,0.692
R02474,23,Male,USA,Bachelor's,Part-time Employed,Financial Services,Senior,0,$50-75K,0.0,2,Yes,21-40%,3,Yes,Udemy,11.4,2,Cost,In-person Classroom,Cybersecurity,News/Media,Yes,Unsure,5,No,4,1,No,7,Yes,0.49,0.684,0.85,0.0,Striving Upskiller,0.521
R02475,40,Male,UAE,Master's,Unemployed - Seeking,Education,Mid-level,15,>AED 720K,3.0,2,Yes,0-20%,3,No,None,0.0,5,Lack of Awareness,Online Instructor-led,None,Employer,No,Unsure,3,Yes,4,3,No,11,No,0.43,0.25,0.325,1.923,Complacent High Earner,0.717
R02476,45,Female,USA,High School/Diploma,Full-time Employed,Manufacturing,Senior,21,<$25K,2.0,3,No,21-40%,3,No,None,0.0,4,Time,Online Instructor-led,None,Employer,Yes,No,3,No,2,3,No,5,Yes,0.29,0.188,0.525,2.525,At-Risk Low Earner,0.529
R02477,28,Male,India,High School/Diploma,Full-time Employed,Retail/E-commerce,Mid-level,5,,0.0,4,Yes,21-40%,2,Yes,YouTube/Free Resources,1.5,5,Family Responsibilities,Peer Learning/Mentorship,Soft Skills/Leadership,Social Media,No,Unsure,2,Yes,3,4,No,3,No,0.69,0.722,0.238,1.025,Unknown,0.75
R02478,41,Female,India,Below High School,Self-employed/Freelancer,Education,Senior,21,₹25-50L,3.0,2,Yes,21-40%,1,No,None,0.0,3,Lack of Awareness,Online Self-paced,None,News/Media,Yes,Unsure,4,No,3,1,No,3,No,0.49,0.125,0.762,0.0,Complacent High Earner,0.575
R02479,28,Prefer Not to Say,UAE,Bachelor's,Full-time Employed,Retail/E-commerce,Entry-level,9,AED 120-240K,2.0,2,No,41-60%,3,No,None,0.0,5,Employer Doesn't Support,On-the-job Training,None,News/Media,No,No,1,Yes,2,3,No,10,No,0.25,0.25,0.0,1.923,At-Risk Low Earner,0.533
R02480,27,Female,UK,Bachelor's,Full-time Employed,Manufacturing,Senior,1,£15-30K,0.0,3,No,21-40%,3,No,None,0.0,3,Time,On-the-job Training,None,Self-Research,No,Unsure,1,Yes,3,3,Yes,4,No,0.29,0.125,0.15,3.704,At-Risk Low Earner,0.558
R02481,28,Male,Germany,High School/Diploma,Part-time Employed,Logistics/Supply Chain,Executive/C-suite,6,€40-65K,0.0,3,No,41-60%,2,No,None,0.0,1,Cost,Online Self-paced,None,Peers/Network,Yes,Unsure,3,No,4,2,No,4,Yes,0.35,0.0,0.675,10.0,At-Risk Low Earner,0.483
R02482,37,Female,USA,High School/Diploma,Full-time Employed,Retail/E-commerce,Senior,15,$50-75K,1.0,4,No,21-40%,2,No,None,0.0,2,Family Responsibilities,Online Self-paced,None,News/Media,No,No,2,No,3,5,Yes,3,No,0.39,0.062,0.088,10.0,At-Risk Low Earner,0.488
R02483,35,Non-Binary,UK,PhD,Self-employed/Freelancer,Manufacturing,Mid-level,13,£80-120K,2.0,2,No,21-40%,3,No,Company Internal LMS,0.0,4,Time,Hybrid,None,News/Media,No,Unsure,1,No,4,4,No,6,Yes,0.19,0.188,0.15,3.788,Complacent High Earner,0.712
